"연번","어린이집명","어린이집유형","주소","정원","현원"
"1","자연숲어린이집","민간","경기도 남양주시 진접읍 주곡로 164-66 자연앤어울림 단지내 보육시설","45","41"
"2","허브리츠어린이집","민간","서울특별시 동대문구 정릉천동로 36 래미안허브리츠아파트 관리동1층 (용두동)","43","43"
"3","예람뜰어린이집","가정","경기도 의정부시 호국로 1369 103동 101호(금오동, 신도브래뉴아파트)","20","20"
"4","물댄동산어린이집","가정","경기도 부천시 오정구 오정로 245 창보아파트102동 110호(오정동)","19","19"
"5","엘림어린이집","가정","경상남도 창원시 마산회원구 구암남16길 54 102동 102호(구암동, 구암대동타운1차아파트)","18","15"
"6","요요아이어린이집","가정","서울특별시 송파구 오금로27길 39 (방이동)","18","14"
"7","호키포키어린이집","가정","대전광역시 유성구 월드컵대로290번길 39 102동 101호(상대동, 목련아파트)","13","11"
"8","새싹어린이집","민간","경상북도 영천시 바깥완산길 43 (완산동)","163","148"
"9","구암어린이집","사회복지법인","대구광역시 북구 구암로42길 13-20","120","107"
"10","키즈킹덤어린이집","민간","강원도 원주시 치악로1534번길 22-1","34","34"
"11","깨비어린이집","가정","강원도 원주시 구곡길 10-29","20","20"
"12","라이프어린이집","가정","강원도 원주시 백간길 72 103동 101호(단계동, 라이프타운)","20","14"
"13","푸르지오어린이집","가정","인천광역시 서구 청마로 170 303-102","19","18"
"14","생각하는어린이집","가정","경기도 고양시 일산서구 강선로 167 1503동 106호(일산동, 후곡마을건영15단지아파트)","16","13"
"15","폴라리스가정어린이집","가정","경기도 고양시 일산서구 일산로 612 601동 101호(일산동, 후곡마을동부6단지아파트)","20","18"
"16","사랑어린이집","가정","강원도 동해시 평릉길 14 102동 101호(천곡동, 동해금호어울림아파트)","20","20"
"17","구립 파란들어린이집","국공립","서울특별시 양천구 가로공원로 85 (신월동)","79","74"
"18","보경어린이집","가정","부산광역시 북구 시랑로182번길 19 벽산그린타운3차 102호 (구포동)","20","20"
"19","경희예능어린이집","민간","울산광역시 남구 팔등로109번길 12-3","59","59"
"20","브레인 어린이집","가정","부산광역시 북구 용수로 100 209동 104호(화명동, 코오롱하늘채2차아파트)","20","20"
"21","대림비츠어린이집","민간","부산광역시 해운대구 대천로103번길 9 관리동 1층","39","39"
"22","이편한어린이집","가정","경상남도 양산시 양주로 33 109동 104호(남부동, E-편한세상1차아파트)","18","18"
"23","해피트리어린이집","가정","경상남도 통영시 장좌로 145 101-103(동호동,동원비치2차아파트)","19","19"
"24","칙칙폭폭 어린이집","가정","충청남도 아산시 고불로 669 202동 106호(좌부동, 초원아파트)","13","13"
"25","신광어린이집","사회복지법인","제주특별자치도 제주시 신산마을동길 18 (도평동)","129","127"
"26","무궁화어린이집","사회복지법인","제주특별자치도 제주시 사송길 42 (영평동)","150","66"
"27","동성어린이집","민간","서울특별시 강서구 화곡로18길 39 (화곡동)","55","55"
"28","삼성베베어린이집","가정","광주광역시 북구 서하로 120 삼성아파트 3동 104호","20","19"
"29","하늘숲어린이집","민간","광주광역시 광산구 목련로382번길 79 (신가동)","45","44"
"30","율곡어린이집","민간","광주광역시 북구 삼정로 50 두암주공 3단지 (두암동)","65","65"
"31","동성어린이집","가정","경기도 동두천시 동두천로 139 901동 103호(지행동, 부영9단지)","18","17"
"32","풍림어린이집","가정","경기도 고양시 덕양구 지도로103번길 61 201동 103호(토당동, 풍림아이원아파트)","20","20"
"33","성원어린이집","가정","경상북도 구미시 옥계2공단로 264-11 108동 101호(구포동, 성원)","20","18"
"34","파랑새어린이집","민간","경상북도 구미시 원남로1길 38-1","30","24"
"35","팬더어린이집","민간","인천광역시 부평구 마분로4번길 10 (3층 건물전체) (부개동)","82","78"
"36","YMCA흰돌복지관어린이집","국공립","경기도 고양시 일산동구 장백로 61 YMCA 흰돌복지관 어린이집","66","47"
"37","크로바어린이집","민간","부산광역시 부산진구 백양대로136번길 37  -9  (당감동)","241","200"
"38","이솝어린이집","민간","경상북도 영천시 조흔달길 8 (조교동)","99","73"
"39","책사랑어린이집","가정","경기도 용인시 수지구 성복2로 184 208동 103호(성복동, 수지자이2차아파트)","20","20"
"40","아이사랑 어린이집","민간","경상북도 영천시 화남면 한천길 10-37","37","20"
"41","하늘어린이집","민간","경상북도 영천시 새말1길 19 하늘어린이집","36","29"
"42","사과나무어린이집","민간","경상남도 거제시 수양2길 55 사과나무어린이집","115","114"
"43","푸르미어린이집","가정","경기도 평택시 현신3길 75 101동 104호(비전동, 용이동대우푸르지오아파트)","20","20"
"44","예쁜꿈어린이집","가정","인천광역시 연수구 새말로 154 305동 110호(연수동, 연수주공3차아파트)","13","10"
"45","리더아이어린이집","가정","충청북도 청주시 서원구 두꺼비로 91 103동 101호(산남동, 영조퀸덤)","20","20"
"46","별초롱어린이집","가정","서울특별시 동작구 만양로1길 14 102호(상도2동 상명하이츠빌)","18","15"
"47","현대홈타운어린이집","가정","경기도 하남시 신장로76번길 50 101동 104호(신장동, 하남신장현대홈타운)","20","20"
"48","주연키즈어린이집","민간","서울특별시 강서구 까치산로18길 35 주연키즈어린이집 (화곡동)","36","33"
"49","구름송이어린이집","가정","경기도 수원시 영통구 영통로173번길 37 101동 104호(망포동, 망포마을쌍용아파트)","19","19"
"50","숲 어린이집","민간","충청남도 아산시 장재로 27 (장재리, 장재마을휴먼시아 내)","39","39"
"51","아이러브키즈어린이집","가정","경기도 광주시 새말길 81-16 1동 103호(진하우스)","16","16"
"52","초록별어린이집","가정","경상남도 창원시 마산회원구 합성북8길 39","12","12"
"53","주공한솔어린이집","가정","인천광역시 남동구 호구포로 294 102동 101호(논현동, 주공아파트)","13","10"
"54","세모네모어린이집","가정","경기도 수원시 팔달구 일월로18번길 4-26 171동 105호(화서동, 꽃뫼버들마을코오롱아파트)","18","16"
"55","미래연어린이집","민간","경기도 남양주시 오남읍 진건오남로 571-1 호정빌딩 1층","39","33"
"56","별내튼튼어린이집","가정","경기도 남양주시 별내면 청학로68번길 6 청학주공아파트 502-102","20","19"
"57","그랑블어린이집","가정","인천광역시 서구 에메랄드로 65 서해그랑블아파트 단지내 관리동 (연희동)","20","20"
"58","빛나라어린이집","가정","서울특별시 용산구 이촌로87길 21 이촌아파트 에이단지 106동 104호","19","19"
"59","곤지암베이비어린이집","가정","경기도 광주시 곤지암읍 곤지암로 108 203동 102호(곤지암리, 곤지암쌍용2차아파트)","19","19"
"60","리베폴어린이집","가정","인천광역시 연수구 해송로 143 119동 102호 (송도동, 송도웰카운티1단지아파트)","20","20"
"61","칭찬가득어린이집","가정","경기도 고양시 덕양구 세솔로 25 2211동 101호(동산동, 동산마을호반베르디움22단지)","20","20"
"62","사과나무어린이집","가정","인천광역시 동구 송현로 39 203-102(송현동, 솔빛마을주공2차아파트)","17","17"
"63","찬솔나라 어린이집","가정","제주특별자치도 제주시 신성로 15 (도남동)","20","18"
"64","우리어린이집","민간","충청남도 부여군 규암면 자온로 40-6","60","50"
"65","꿈에그린어린이집","민간","인천광역시 계양구 동양로 10 한화꿈에그린아파트 관리동 1층","32","32"
"66","숲속어린이집","민간","서울특별시 동작구 등용로10길 24 (대방동)","62","46"
"67","예사랑어린이집","가정","경기 시흥시 하중1동 성원a)111-102","15","6"
"68","가람 어린이집","가정","경기도 시흥시 진말로 46 108동 103호(장곡동, 진말삼환한진1차아파트)","19","19"
